"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"1152","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"1153","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1155","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1157","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1158","f","f","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1159","f","f","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1161","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1162","x","f","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1163","x","f","e","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"1166","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1167","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1168","x","f","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","y","e"
"1169","f","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1170","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1171","x","s","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1172","x","f","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","e"
"1173","f","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1174","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","v","e"
"1175","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","v","e"
"1176","x","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","y","e"
"1177","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"1178","f","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","v","e"
"1179","x","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1180","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"1181","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","e"
"1184","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1185","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"1187","f","s","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1188","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1189","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"1190","x","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1191","x","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1192","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"1193","x","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","e"
"1195","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1196","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1197","x","f","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1198","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1199","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1200","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"1201","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1203","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1204","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1205","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1209","f","s","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1213","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"1214","x","f","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1216","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1218","f","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1219","f","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1220","f","f","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1221","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","e"
"1222","x","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1223","x","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1224","f","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1225","f","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1226","x","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1227","x","y","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","e"
"1230","x","y","n","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","y","e"
"1233","f","f","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1234","x","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1235","f","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1236","f","f","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1237","f","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1239","x","s","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1240","x","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1241","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1243","x","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1245","f","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1246","x","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1247","f","s","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1248","x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1250","f","f","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1252","x","f","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"1253","f","s","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1254","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1255","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1256","x","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1257","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1258","f","f","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1259","f","s","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1261","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1262","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1263","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1264","x","s","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1265","x","f","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","e"
"1266","f","s","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1267","f","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1268","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1269","x","s","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1270","x","y","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","y","e"
"1272","x","s","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1273","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1274","f","f","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1275","x","f","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1276","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1278","f","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1279","x","s","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1280","f","s","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1281","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1282","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1283","x","f","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1284","x","s","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1286","f","f","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1287","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1288","f","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1289","x","f","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","y","e"
"1291","x","f","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","e"
"1292","x","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1293","x","f","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1294","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1295","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1297","x","f","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","e"
"1298","x","s","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1299","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"1301","x","s","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1302","x","f","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1304","x","f","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","e"
"1305","f","s","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1306","f","s","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1307","f","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1308","f","s","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1309","f","s","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1310","f","s","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1312","f","s","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1313","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1314","x","f","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1315","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1316","f","f","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1318","x","f","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","e"
"1319","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"1321","f","f","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","y","e"
"1322","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1323","f","f","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1324","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1325","x","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1326","f","s","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1327","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1328","f","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1329","x","s","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1330","f","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1331","x","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1332","f","s","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1333","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1334","f","f","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1335","f","s","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1336","x","f","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","e"
"1338","x","f","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","y","e"
"1339","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1340","f","f","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1342","f","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1343","f","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1344","f","f","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","y","e"
"1347","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1348","x","s","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1353","f","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1355","x","s","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1356","f","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1358","f","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1360","f","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1361","f","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1362","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1364","f","s","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1365","x","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1366","f","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1367","x","f","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1368","f","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1370","f","f","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1371","f","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1372","x","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1373","x","f","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1374","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"1375","x","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1376","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1377","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1378","f","f","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1381","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1382","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1383","f","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1386","x","f","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1387","f","f","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1388","x","f","g","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","e"
"1389","x","f","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","e"
"1390","x","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1391","x","f","g","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","e"
"1393","f","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1394","x","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1395","f","f","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1396","x","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","y","e"
"1397","x","s","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1398","x","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1399","f","s","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1400","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1401","f","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1403","x","f","g","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","e"
"1404","f","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1406","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1407","x","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1408","x","s","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1409","f","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1410","f","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1411","x","f","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1412","f","s","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1413","f","s","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1415","f","f","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1416","f","f","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1417","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"1418","x","s","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1419","x","s","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1420","f","s","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","e"
"1421","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1422","x","s","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1423","x","f","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","v","e"
"1426","f","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1427","f","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1428","x","s","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1429","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","e"
"1430","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1431","x","s","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1432","x","f","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","e"
"1433","f","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1435","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1436","x","f","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","y","e"
"1437","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1438","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1439","f","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1440","x","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1441","x","f","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","e"
"1443","f","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1444","f","f","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1445","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1446","f","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1447","x","s","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1450","f","s","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1452","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"1453","x","f","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1455","x","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","e"
"1456","f","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1458","x","f","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","e"
"1459","x","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1460","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1463","f","s","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1465","x","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","e"
"1466","x","y","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","k","v","e"
"1468","x","s","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","e"
"1469","f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1470","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1471","x","y","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","e"
"1473","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"1474","f","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1475","x","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1476","f","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1478","x","f","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1480","x","f","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1483","x","f","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1484","x","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1487","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","e"
"1488","f","s","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1489","x","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1490","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1491","f","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1492","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"1493","f","s","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1494","x","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1495","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1496","f","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1497","f","s","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1500","x","f","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1501","f","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1502","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1503","f","f","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"1504","x","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1505","f","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1506","x","f","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","e"
"1507","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","p"
"1508","x","f","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","e"
"1509","x","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","e"
"1510","x","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","y","e"
"1511","x","f","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","e"
"1512","f","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1513","f","s","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1514","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
